Volume,Budget,Year,Credit_limit,Product_type,Legalstatus,Payment_type
62.27,94.81,2013,1500,Diesel,Limited_Company,Direct_Debit
61.03,99.92,2014,500,Diesel,Limited_Company,Direct_Debit
69.06,122.19,2014,650,Petrol,Limited_Company,Direct_Debit
185.07,287.61,2014,2850,Diesel,Limited_Company,Direct_Debit
48.66,77.28,2014,500,Diesel,Limited_Company,Direct_Debit
205.39,360.36,2014,4500,Diesel,Limited_Company,Direct_Debit
174.08,306.98,2014,3600,Diesel,Limited_Company,Direct_Debit
107.5,181.49,2014,1700,Diesel,Limited_Company,Direct_Debit
54.41,91.84,2014,500,Diesel,Sole_Trader,Direct_Debit
38.19,64.94,2014,1400,Petrol,Sole_Trader,Direct_Debit
44.4,63.63,2014,2500,Diesel,Sole_Trader,Direct_Debit
41.09,68.97,2014,500,Diesel,Sole_Trader,Direct_Debit
117.09,205.11,2015,800,Diesel,Limited_Company,Direct_Debit
26.75,44.78,2015,1000,Diesel,Limited_Company,Direct_Debit
48,70.65,2015,650,Diesel,Limited_Company,Direct_Debit
66.43,110.33,2015,1300,Diesel,Limited_Company,Direct_Debit
24.85,43.65,2015,800,Diesel,Limited_Company,Direct_Debit
120.43,215.79,2015,1950,Diesel,Limited_Company,Direct_Debit
48.43,73.01,2015,650,Petrol,Partnership,Direct_Debit
130.06,197.57,2015,1800,Diesel,Limited_Company,Direct_Debit
114.88,203.84,2015,1300,Diesel,Limited_Company,Direct_Debit
66.97,95.35,2015,650,Diesel,Sole_Trader,Direct_Debit
49.78,72.86,2015,1000,Diesel,Limited_Company,Direct_Debit
64.03,96.72,2015,2000,Diesel,Limited_Company,Direct_Debit
70.02,110.35,2015,2000,Diesel,Limited_Company,Direct_Debit
66.08,113.16,2015,1500,Diesel,Limited_Company,Direct_Debit
46.89,82.06,2015,4200,Diesel,Limited_Company,Direct_Debit
79.41,112.7,2016,900,Diesel,Limited_Company,Direct_Debit
47.53,73.58,2016,1000,Diesel,Limited_Company,Direct_Debit
54.72,91.69,2016,400,Diesel,Limited_Company,Direct_Debit
143.83,223.12,2016,4000,Diesel,Limited_Company,Direct_Debit
122.96,211.82,2016,4200,Diesel,Limited_Company,Direct_Debit
32.81,55.23,2016,750,Diesel,Limited_Company,Direct_Debit
53.07,93.44,2016,400,Diesel,Limited_Company,Direct_Debit
378.82,666.84,2016,3750,Diesel,Limited_Company,Direct_Debit
137.85,232.14,2016,3600,Diesel,Limited_Company,Direct_Debit
232.89,343.02,2016,3000,Diesel,Limited_Company,Direct_Debit
32.09,45.55,2016,600,Diesel,Sole_Trader,Direct_Debit
60.7,104.5,2016,500,Diesel,Sole_Trader,Direct_Debit
13.85,20.92,2016,600,Diesel,Limited_Company,Direct_Debit
130.04,196.23,2016,2100,Diesel,Partnership,Direct_Debit
